project_name,layer_id,property_id,property_name,unit_id,dimension_des,metadata_url,download_url,get_map_url,get_legend_url,get_feature_info_url
Global Salt-Affected Soils,BT-GSAS-ECXSD-2021-0-30,ECXSD,Electrical conductivity standard deviation,dS m-1,0-30,http://localhost:8001/collections/metadata:main/items/5dfe057b-41e9-11f0-96f5-456217065866,https://storage.googleapis.com/fao-gismgr-glosis-data/DATA/GLOSIS/MAPSET/BT-GSAS-ECXSD-2021/GLOSIS.BT-GSAS-ECXSD-2021.D-0-30.tif,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXSD-2021-0-30.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetMap&BBOX=4.584249999999999936%2C116.5172270000000054%2C21.22970700000000122%2C126.8480870000000067&CRS=EPSG%3A4326&WIDTH=567&HEIGHT=914&LAYERS=BT-GSAS-ECXSD-2021-0-30&STYLES=&FORMAT=image%2Fpng&DPI=96&MAP_RESOLUTION=96&FORMAT_OPTIONS=dpi%3A96&TRANSPARENT=TRUE,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXSD-2021-0-30.map&SERVICE=WMS&VERSION=1.1.1&LAYER=BT-GSAS-ECXSD-2021-0-30&REQUEST=getlegendgraphic&FORMAT=image/png,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXSD-2021-0-30.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetFeatureInfo&LAYERS=BT-GSAS-ECXSD-2021-0-30&STYLES=&FORMAT=image%2Fpng&QUERY_LAYERS=BT-GSAS-ECXSD-2021-0-30&INFO_FORMAT=text%2Fhtml&I=282&J=429
Global Salt-Affected Soils,BT-GSAS-ECXSD-2021-30-100,ECXSD,Electrical conductivity standard deviation,dS m-1,30-100,http://localhost:8001/collections/metadata:main/items/5dfe057b-41e9-11f0-96f5-456217065866,https://storage.googleapis.com/fao-gismgr-glosis-data/DATA/GLOSIS/MAPSET/BT-GSAS-ECXSD-2021/GLOSIS.BT-GSAS-ECXSD-2021.D-30-100.tif,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXSD-2021-30-100.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetMap&BBOX=4.584249999999999936%2C116.5172270000000054%2C21.22970700000000122%2C126.8480870000000067&CRS=EPSG%3A4326&WIDTH=567&HEIGHT=914&LAYERS=BT-GSAS-ECXSD-2021-30-100&STYLES=&FORMAT=image%2Fpng&DPI=96&MAP_RESOLUTION=96&FORMAT_OPTIONS=dpi%3A96&TRANSPARENT=TRUE,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXSD-2021-30-100.map&SERVICE=WMS&VERSION=1.1.1&LAYER=BT-GSAS-ECXSD-2021-30-100&REQUEST=getlegendgraphic&FORMAT=image/png,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXSD-2021-30-100.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetFeatureInfo&LAYERS=BT-GSAS-ECXSD-2021-30-100&STYLES=&FORMAT=image%2Fpng&QUERY_LAYERS=BT-GSAS-ECXSD-2021-30-100&INFO_FORMAT=text%2Fhtml&I=282&J=429
Global Salt-Affected Soils,BT-GSAS-ECXSE-2021-0-30,ECXSE,Electrical conductivity spatial estimate,dS m-1,0-30,http://localhost:8001/collections/metadata:main/items/5dfe0577-41e9-11f0-96f5-456217065866,https://storage.googleapis.com/fao-gismgr-glosis-data/DATA/GLOSIS/MAPSET/BT-GSAS-ECXSE-2021/GLOSIS.BT-GSAS-ECXSE-2021.D-0-30.tif,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXSE-2021-0-30.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetMap&BBOX=4.584249999999999936%2C116.5172270000000054%2C21.22970700000000122%2C126.8480870000000067&CRS=EPSG%3A4326&WIDTH=567&HEIGHT=914&LAYERS=BT-GSAS-ECXSE-2021-0-30&STYLES=&FORMAT=image%2Fpng&DPI=96&MAP_RESOLUTION=96&FORMAT_OPTIONS=dpi%3A96&TRANSPARENT=TRUE,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXSE-2021-0-30.map&SERVICE=WMS&VERSION=1.1.1&LAYER=BT-GSAS-ECXSE-2021-0-30&REQUEST=getlegendgraphic&FORMAT=image/png,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXSE-2021-0-30.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetFeatureInfo&LAYERS=BT-GSAS-ECXSE-2021-0-30&STYLES=&FORMAT=image%2Fpng&QUERY_LAYERS=BT-GSAS-ECXSE-2021-0-30&INFO_FORMAT=text%2Fhtml&I=282&J=429
Global Salt-Affected Soils,BT-GSAS-ECXSE-2021-30-100,ECXSE,Electrical conductivity spatial estimate,dS m-1,30-100,http://localhost:8001/collections/metadata:main/items/5dfe0577-41e9-11f0-96f5-456217065866,https://storage.googleapis.com/fao-gismgr-glosis-data/DATA/GLOSIS/MAPSET/BT-GSAS-ECXSE-2021/GLOSIS.BT-GSAS-ECXSE-2021.D-30-100.tif,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXSE-2021-30-100.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetMap&BBOX=4.584249999999999936%2C116.5172270000000054%2C21.22970700000000122%2C126.8480870000000067&CRS=EPSG%3A4326&WIDTH=567&HEIGHT=914&LAYERS=BT-GSAS-ECXSE-2021-30-100&STYLES=&FORMAT=image%2Fpng&DPI=96&MAP_RESOLUTION=96&FORMAT_OPTIONS=dpi%3A96&TRANSPARENT=TRUE,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXSE-2021-30-100.map&SERVICE=WMS&VERSION=1.1.1&LAYER=BT-GSAS-ECXSE-2021-30-100&REQUEST=getlegendgraphic&FORMAT=image/png,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXSE-2021-30-100.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetFeatureInfo&LAYERS=BT-GSAS-ECXSE-2021-30-100&STYLES=&FORMAT=image%2Fpng&QUERY_LAYERS=BT-GSAS-ECXSE-2021-30-100&INFO_FORMAT=text%2Fhtml&I=282&J=429
Global Salt-Affected Soils,BT-GSAS-ECXTE-2021-0-30,ECXTE,Electrical conductivity total estimate,dS m-1,0-30,http://localhost:8001/collections/metadata:main/items/5dfe0563-41e9-11f0-96f5-456217065866,https://storage.googleapis.com/fao-gismgr-glosis-data/DATA/GLOSIS/MAPSET/BT-GSAS-ECXTE-2021/GLOSIS.BT-GSAS-ECXTE-2021.D-0-30.tif,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXTE-2021-0-30.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetMap&BBOX=4.584249999999999936%2C116.5172270000000054%2C21.22970700000000122%2C126.8480870000000067&CRS=EPSG%3A4326&WIDTH=567&HEIGHT=914&LAYERS=BT-GSAS-ECXTE-2021-0-30&STYLES=&FORMAT=image%2Fpng&DPI=96&MAP_RESOLUTION=96&FORMAT_OPTIONS=dpi%3A96&TRANSPARENT=TRUE,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXTE-2021-0-30.map&SERVICE=WMS&VERSION=1.1.1&LAYER=BT-GSAS-ECXTE-2021-0-30&REQUEST=getlegendgraphic&FORMAT=image/png,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXTE-2021-0-30.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetFeatureInfo&LAYERS=BT-GSAS-ECXTE-2021-0-30&STYLES=&FORMAT=image%2Fpng&QUERY_LAYERS=BT-GSAS-ECXTE-2021-0-30&INFO_FORMAT=text%2Fhtml&I=282&J=429
Global Salt-Affected Soils,BT-GSAS-ECXTE-2021-30-100,ECXTE,Electrical conductivity total estimate,dS m-1,30-100,http://localhost:8001/collections/metadata:main/items/5dfe0563-41e9-11f0-96f5-456217065866,https://storage.googleapis.com/fao-gismgr-glosis-data/DATA/GLOSIS/MAPSET/BT-GSAS-ECXTE-2021/GLOSIS.BT-GSAS-ECXTE-2021.D-30-100.tif,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXTE-2021-30-100.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetMap&BBOX=4.584249999999999936%2C116.5172270000000054%2C21.22970700000000122%2C126.8480870000000067&CRS=EPSG%3A4326&WIDTH=567&HEIGHT=914&LAYERS=BT-GSAS-ECXTE-2021-30-100&STYLES=&FORMAT=image%2Fpng&DPI=96&MAP_RESOLUTION=96&FORMAT_OPTIONS=dpi%3A96&TRANSPARENT=TRUE,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXTE-2021-30-100.map&SERVICE=WMS&VERSION=1.1.1&LAYER=BT-GSAS-ECXTE-2021-30-100&REQUEST=getlegendgraphic&FORMAT=image/png,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXTE-2021-30-100.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetFeatureInfo&LAYERS=BT-GSAS-ECXTE-2021-30-100&STYLES=&FORMAT=image%2Fpng&QUERY_LAYERS=BT-GSAS-ECXTE-2021-30-100&INFO_FORMAT=text%2Fhtml&I=282&J=429
Global Salt-Affected Soils,BT-GSAS-ECXU-2021-0-30,ECXU,Electrical conductivity uncertainty,dS m-1,0-30,http://localhost:8001/collections/metadata:main/items/5dfe0569-41e9-11f0-96f5-456217065866,https://storage.googleapis.com/fao-gismgr-glosis-data/DATA/GLOSIS/MAPSET/BT-GSAS-ECXU-2021/GLOSIS.BT-GSAS-ECXU-2021.D-0-30.tif,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXU-2021-0-30.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetMap&BBOX=4.584249999999999936%2C116.5172270000000054%2C21.22970700000000122%2C126.8480870000000067&CRS=EPSG%3A4326&WIDTH=567&HEIGHT=914&LAYERS=BT-GSAS-ECXU-2021-0-30&STYLES=&FORMAT=image%2Fpng&DPI=96&MAP_RESOLUTION=96&FORMAT_OPTIONS=dpi%3A96&TRANSPARENT=TRUE,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXU-2021-0-30.map&SERVICE=WMS&VERSION=1.1.1&LAYER=BT-GSAS-ECXU-2021-0-30&REQUEST=getlegendgraphic&FORMAT=image/png,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXU-2021-0-30.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetFeatureInfo&LAYERS=BT-GSAS-ECXU-2021-0-30&STYLES=&FORMAT=image%2Fpng&QUERY_LAYERS=BT-GSAS-ECXU-2021-0-30&INFO_FORMAT=text%2Fhtml&I=282&J=429
Global Salt-Affected Soils,BT-GSAS-ECXU-2021-30-100,ECXU,Electrical conductivity uncertainty,dS m-1,30-100,http://localhost:8001/collections/metadata:main/items/5dfe0569-41e9-11f0-96f5-456217065866,https://storage.googleapis.com/fao-gismgr-glosis-data/DATA/GLOSIS/MAPSET/BT-GSAS-ECXU-2021/GLOSIS.BT-GSAS-ECXU-2021.D-30-100.tif,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXU-2021-30-100.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetMap&BBOX=4.584249999999999936%2C116.5172270000000054%2C21.22970700000000122%2C126.8480870000000067&CRS=EPSG%3A4326&WIDTH=567&HEIGHT=914&LAYERS=BT-GSAS-ECXU-2021-30-100&STYLES=&FORMAT=image%2Fpng&DPI=96&MAP_RESOLUTION=96&FORMAT_OPTIONS=dpi%3A96&TRANSPARENT=TRUE,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXU-2021-30-100.map&SERVICE=WMS&VERSION=1.1.1&LAYER=BT-GSAS-ECXU-2021-30-100&REQUEST=getlegendgraphic&FORMAT=image/png,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-ECXU-2021-30-100.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetFeatureInfo&LAYERS=BT-GSAS-ECXU-2021-30-100&STYLES=&FORMAT=image%2Fpng&QUERY_LAYERS=BT-GSAS-ECXU-2021-30-100&INFO_FORMAT=text%2Fhtml&I=282&J=429
Global Salt-Affected Soils,BT-GSAS-NAEXC-2021-0-30,NAEXC,Sodium (Na+) - exchangeable,%,0-30,http://localhost:8001/collections/metadata:main/items/5dfe0559-41e9-11f0-96f5-456217065866,https://storage.googleapis.com/fao-gismgr-glosis-data/DATA/GLOSIS/MAPSET/BT-GSAS-NAEXC-2021/GLOSIS.BT-GSAS-NAEXC-2021.D-0-30.tif,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-NAEXC-2021-0-30.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetMap&BBOX=4.584249999999999936%2C116.5172270000000054%2C21.22970700000000122%2C126.8480870000000067&CRS=EPSG%3A4326&WIDTH=567&HEIGHT=914&LAYERS=BT-GSAS-NAEXC-2021-0-30&STYLES=&FORMAT=image%2Fpng&DPI=96&MAP_RESOLUTION=96&FORMAT_OPTIONS=dpi%3A96&TRANSPARENT=TRUE,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-NAEXC-2021-0-30.map&SERVICE=WMS&VERSION=1.1.1&LAYER=BT-GSAS-NAEXC-2021-0-30&REQUEST=getlegendgraphic&FORMAT=image/png,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-NAEXC-2021-0-30.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetFeatureInfo&LAYERS=BT-GSAS-NAEXC-2021-0-30&STYLES=&FORMAT=image%2Fpng&QUERY_LAYERS=BT-GSAS-NAEXC-2021-0-30&INFO_FORMAT=text%2Fhtml&I=282&J=429
Global Salt-Affected Soils,BT-GSAS-NAEXC-2021-30-100,NAEXC,Sodium (Na+) - exchangeable,%,30-100,http://localhost:8001/collections/metadata:main/items/5dfe0559-41e9-11f0-96f5-456217065866,https://storage.googleapis.com/fao-gismgr-glosis-data/DATA/GLOSIS/MAPSET/BT-GSAS-NAEXC-2021/GLOSIS.BT-GSAS-NAEXC-2021.D-30-100.tif,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-NAEXC-2021-30-100.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetMap&BBOX=4.584249999999999936%2C116.5172270000000054%2C21.22970700000000122%2C126.8480870000000067&CRS=EPSG%3A4326&WIDTH=567&HEIGHT=914&LAYERS=BT-GSAS-NAEXC-2021-30-100&STYLES=&FORMAT=image%2Fpng&DPI=96&MAP_RESOLUTION=96&FORMAT_OPTIONS=dpi%3A96&TRANSPARENT=TRUE,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-NAEXC-2021-30-100.map&SERVICE=WMS&VERSION=1.1.1&LAYER=BT-GSAS-NAEXC-2021-30-100&REQUEST=getlegendgraphic&FORMAT=image/png,http://localhost:8082/?map=/etc/mapserver/BT-GSAS-NAEXC-2021-30-100.map&SERVICE=WMS&VERSION=1.3.0&REQUEST=GetFeatureInfo&LAYERS=BT-GSAS-NAEXC-2021-30-100&STYLES=&FORMAT=image%2Fpng&QUERY_LAYERS=BT-GSAS-NAEXC-2021-30-100&INFO_FORMAT=text%2Fhtml&I=282&J=429
